wmo,cycle,date,latitude,longitude
3902650,2,2026-04-15T20:44:50Z,-40.006,23.529
3902660,31,2026-03-03T12:55:50Z,-15.386,-11.962
3902660,42,2026-06-22T07:30:01Z,-14.866,-10.304
3902682,20,2026-02-02T21:28:49Z,-3.3,-13.674
3902683,10,2025-08-26T09:45:40Z,29.726,-64.202
3902683,23,2026-01-05T05:56:58Z,30.738,-67.952
3902684,14,2025-06-24T23:34:28Z,47.521,165.124
3902688,21,2025-09-17T02:38:45Z,49.259,-20.671
3902747,8,2026-04-30T07:10:01Z,-58.883,120.034
3902747,14,2026-06-29T23:36:38Z,-58.537,121.137
3902750,3,2026-02-07T00:23:33Z,10.286,62.403
3902751,5,2026-02-27T03:54:58Z,11.807,63.911
3902752,1,2026-01-22T02:07:53Z,13.479,63.495
3902754,8,2026-03-29T18:48:47Z,13.808,61.722
3902798,3,2026-07-03T05:16:11Z,46.782,-11.753
3902800,2,2026-06-30T22:21:46Z,-22.198,-85.15
4902437,236,2024-09-16T16:01:35Z,71.262,-61.754
4902437,256,2025-07-01T16:07:37Z,70.911,-63.621
4902597,59,2024-08-26T13:35:00Z,50.965,-144.185
4902598,121,2026-01-04T12:35:00Z,42.414,-54.269
4902598,139,2026-07-03T18:32:00Z,39.334,-51.829
4902599,65,2024-07-17T12:28:00Z,34.513,-61.902
4902600,65,2025-06-12T17:38:00Z,37.74,-58.086
4902600,75,2025-09-20T15:34:00Z,39.267,-54.789
4902601,19,2024-03-23T18:39:00Z,39.603,-69.581
4902620,79,2024-11-24T20:53:00Z,,
4902620,91,2025-03-24T13:53:00Z,,
4902623,86,2025-02-15T09:38:00Z,,
4902624,4,2024-07-21T17:37:00Z,,
4902624,8,2024-08-30T21:50:00Z,,
4902625,7,2024-08-22T21:41:00Z,,
4902625,11,2024-10-01T01:40:00Z,,
4902626,126,2026-03-20T05:20:00Z,1.803,65.413
4902627,21,2024-04-03T02:20:00Z,42.294,-60.656
4902628,48,2024-03-06T00:25:00Z,-31.878,37.132
4902628,113,2025-12-16T12:23:00Z,-46.78,40.275
4902674,28,2025-07-12T16:32:00Z,39.311,-69.477
4902675,43,2025-07-31T15:24:00Z,54.139,-51.95
4902675,44,2025-08-10T10:28:00Z,53.632,-51.836
4902676,28,2025-01-23T05:29:00Z,36.873,-60.206
4902676,32,2025-03-04T19:23:00Z,38.466,-60.585
4902677,5,2024-07-17T03:35:00Z,58.363,-57.881
4902678,64,2026-07-05T02:36:00Z,41.609,-58.363
4902681,204,2025-11-26T15:12:00Z,,
4902683,32,2025-06-04T02:08:00Z,,
4902683,120,2025-09-01T19:51:00Z,49.457,-131.502
4902683,267,2026-01-25T03:13:00Z,,
4902684,180,2026-05-06T18:59:00Z,58.996,-58.658
4902685,132,2025-09-19T03:50:00Z,56.847,-51.052
4902687,7,2024-05-24T15:42:00Z,57.958,-51.2
4902687,95,2025-06-16T05:55:00Z,60.068,-54.941
4902690,11,2025-08-23T11:40:00Z,50.017,-138.844
4902691,2,2025-05-30T11:36:00Z,49.126,-130.545
4903026,322,2024-05-24T23:17:43Z,37.198,-126.708
4903026,323,2024-05-28T03:44:37Z,37.244,-126.623
4903273,159,2025-12-15T05:05:45Z,35.026,-62.679
4903273,161,2026-01-06T05:26:07Z,34.58,-62.701
4903274,137,2025-01-15T06:12:31Z,23.662,-71.842
4903274,139,2025-02-06T06:22:33Z,23.0,-71.608
4903365,122,2024-12-05T09:25:02Z,54.404,-40.316
4903365,141,2025-06-15T03:56:48Z,55.931,-43.561
4903456,128,2026-03-08T19:22:57Z,36.179,-52.414
4903458,73,2024-10-06T08:03:16Z,15.115,-57.24
4903459,53,2024-04-11T03:09:30Z,4.441,-28.201
4903459,109,2025-10-26T20:08:26Z,4.932,-34.917
4903462,63,2024-07-19T07:03:27Z,10.117,-53.745
4903463,105,2025-09-26T19:54:38Z,5.034,-21.658
4903485,103,2026-02-05T16:46:00Z,27.768,-13.789
4903486,77,2025-04-16T07:12:51Z,5.534,-20.727
4903487,38,2024-04-01T12:31:11Z,25.341,-22.889
4903487,91,2025-09-13T13:29:28Z,26.739,-22.435
4903488,56,2024-11-02T03:54:31Z,53.139,-22.073
4903489,40,2024-04-03T10:55:16Z,-3.045,-17.957
4903489,61,2024-10-29T21:52:10Z,-2.407,-17.797
4903489,93,2025-09-16T23:26:43Z,-3.071,-22.304
4903499,66,2024-06-14T08:53:05Z,46.818,-125.463
4903500,97,2025-04-28T22:57:44Z,36.875,-128.157
4903500,113,2025-10-09T10:39:20Z,37.693,-125.402
4903532,57,2024-11-14T04:53:58Z,60.002,-33.208
